2023-05-11T00:56:10.553Z [INFO]: Contato de nome, teste e idade, 321 excluído
2023-05-11T13:14:42.383Z [INFO]: Contato de nome, 'teste1' e idade, '21' excluído
2023-05-11T13:16:09.596Z [INFO]: Contato de nome, 'Victor' e idade, '19' excluído
2023-05-11T13:18:43.378Z [INFO]: Contato de nome, 'Victor' e idade, '19' excluído
2023-05-11T13:19:40.739Z [INFO]: Contato de nome, 'Victor' e idade, '19' excluído
2023-05-11T13:19:47.384Z [INFO]: Contato de nome, 'Victor' e idade, '19' excluído
2023-05-11T13:19:53.878Z [INFO]: Contato de nome, 'Victor' e idade, '21' excluído
2023-05-11T13:19:57.439Z [INFO]: Contato de nome, 'teste' e idade, '32' excluído
2023-05-11T13:20:01.350Z [INFO]: Contato de nome, 'teste' e idade, '21' excluído
2023-05-11T13:20:04.978Z [INFO]: Contato de nome, 'teest' e idade, '21' excluído
2023-05-11T13:59:38.215Z [INFO]: Contato de nome, 'teste32' e idade, '42' excluído
2023-05-11T13:59:45.951Z [INFO]: Contato de nome, 'teste' e idade, '23' excluído
